Start Date,1/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,11/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 3.5 06/01/2030 Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2.7 03/31/2026 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2 03/17/2028 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 2.25 05/24/2029 REGS Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4 04/13/2028 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp,ABIBB 4.75 01/23/2029 Corp
7/5/2019,,,IG4,70.6,0.000097313,0.001993479,0.005948917,0.015058314,0.348,115.613,IG4,70.6,0.000097313,0.001993479,0.005948917,0.015058314,0.689,111.018,IG4,70.6,0.000097313,0.001993479,0.005948917,0.015058314,2.107,101.262,IG4,70.6,0.000097313,0.001993479,0.005948917,0.015058314,3.043,107.307,IG4,70.6,0.000097313,0.001993479,0.005948917,0.015058314,3.133,113.243,IG4,70.6,0.000097313,0.001993479,0.005948917,0.015058314
7/8/2019,,,IG4,68.7,0.00009633,0.001981973,0.005923349,0.01500955,0.349,115.596,IG4,68.7,0.00009633,0.001981973,0.005923349,0.01500955,0.686,111.038,IG4,68.7,0.00009633,0.001981973,0.005923349,0.01500955,2.075,101.542,IG4,68.7,0.00009633,0.001981973,0.005923349,0.01500955,3.075,107.054,IG4,68.7,0.00009633,0.001981973,0.005923349,0.01500955,3.152,113.071,IG4,68.7,0.00009633,0.001981973,0.005923349,0.01500955
7/9/2019,,,IG4,68.7,0.00009706,0.001989076,0.005937273,0.015030903,0.352,115.57,IG4,68.7,0.00009706,0.001989076,0.005937273,0.015030903,0.7,110.914,IG4,68.7,0.00009706,0.001989076,0.005937273,0.015030903,2.083,101.474,IG4,68.7,0.00009706,0.001989076,0.005937273,0.015030903,3.097,106.876,IG4,68.7,0.00009706,0.001989076,0.005937273,0.015030903,3.202,112.629,IG4,68.7,0.00009706,0.001989076,0.005937273,0.015030903
7/10/2019,,,IG4,69,0.000100664,0.002028683,0.006022274,0.015184973,0.37,115.43,IG4,69,0.000100664,0.002028683,0.006022274,0.015184973,0.724,110.697,IG4,69,0.000100664,0.002028683,0.006022274,0.015184973,2.097,101.345,IG4,69,0.000100664,0.002028683,0.006022274,0.015184973,3.076,107.036,IG4,69,0.000100664,0.002028683,0.006022274,0.015184973,3.182,112.801,IG4,69,0.000100664,0.002028683,0.006022274,0.015184973
7/11/2019,,,IG4,69.4,0.000105913,0.00208539,0.006143502,0.01540443,0.371,115.406,IG4,69.4,0.000105913,0.00208539,0.006143502,0.01540443,0.739,110.556,IG4,69.4,0.000105913,0.00208539,0.006143502,0.01540443,2.167,100.731,IG4,69.4,0.000105913,0.00208539,0.006143502,0.01540443,3.124,106.651,IG4,69.4,0.000105913,0.00208539,0.006143502,0.01540443,3.247,112.221,IG4,69.4,0.000105913,0.00208539,0.006143502,0.01540443
7/12/2019,,,IG4,69.7,0.00011,0.002129543,0.006238501,0.015578972,0.371,115.399,IG4,69.7,0.00011,0.002129543,0.006238501,0.015578972,0.745,110.498,IG4,69.7,0.00011,0.002129543,0.006238501,0.015578972,2.164,100.754,IG4,69.7,0.00011,0.002129543,0.006238501,0.015578972,3.15,106.447,IG4,69.7,0.00011,0.002129543,0.006238501,0.015578972,3.34,111.418,IG4,69.7,0.00011,0.002129543,0.006238501,0.015578972
7/15/2019,,,IG4,68.4,0.000114551,0.002179467,0.006347434,0.01578414,0.364,115.443,IG4,68.4,0.000114551,0.002179467,0.006347434,0.01578414,0.722,110.7,IG4,68.4,0.000114551,0.002179467,0.006347434,0.01578414,2.147,100.901,IG4,68.4,0.000114551,0.002179467,0.006347434,0.01578414,3.193,106.109,IG4,68.4,0.000114551,0.002179467,0.006347434,0.01578414,3.332,111.482,IG4,68.4,0.000114551,0.002179467,0.006347434,0.01578414
7/16/2019,,,IG4,68.3,0.00011318,0.002165663,0.006318804,0.015734234,0.338,115.627,IG4,68.3,0.00011318,0.002165663,0.006318804,0.015734234,0.676,111.101,IG4,68.3,0.00011318,0.002165663,0.006318804,0.015734234,2.168,100.721,IG4,68.3,0.00011318,0.002165663,0.006318804,0.015734234,3.173,106.259,IG4,68.3,0.00011318,0.002165663,0.006318804,0.015734234,3.323,111.554,IG4,68.3,0.00011318,0.002165663,0.006318804,0.015734234
7/17/2019,,,IG4,68.2,0.000110704,0.002140739,0.006267283,0.015645095,0.303,115.874,IG4,68.2,0.000110704,0.002140739,0.006267283,0.015645095,0.625,111.554,IG4,68.2,0.000110704,0.002140739,0.006267283,0.015645095,2.115,101.185,IG4,68.2,0.000110704,0.002140739,0.006267283,0.015645095,3.129,106.607,IG4,68.2,0.000110704,0.002140739,0.006267283,0.015645095,3.267,112.039,IG4,68.2,0.000110704,0.002140739,0.006267283,0.015645095
7/18/2019,,,IG4,68.2,0.000110457,0.002138792,0.006263998,0.015641579,0.299,115.879,IG4,68.2,0.000110457,0.002138792,0.006263998,0.015641579,0.612,111.658,IG4,68.2,0.000110457,0.002138792,0.006263998,0.015641579,2.11,101.227,IG4,68.2,0.000110457,0.002138792,0.006263998,0.015641579,3.071,107.059,IG4,68.2,0.000110457,0.002138792,0.006263998,0.015641579,3.195,112.654,IG4,68.2,0.000110457,0.002138792,0.006263998,0.015641579
7/19/2019,,,IG4,68.1,0.000109149,0.002127549,0.006243521,0.015614304,0.243,116.28,IG4,68.1,0.000109149,0.002127549,0.006243521,0.015614304,0.549,112.226,IG4,68.1,0.000109149,0.002127549,0.006243521,0.015614304,2.035,101.898,IG4,68.1,0.000109149,0.002127549,0.006243521,0.015614304,3.005,107.577,IG4,68.1,0.000109149,0.002127549,0.006243521,0.015614304,3.104,113.457,IG4,68.1,0.000109149,0.002127549,0.006243521,0.015614304
7/22/2019,,,IG4,66.6,0.000105551,0.002088795,0.006160483,0.015462846,0.22,116.441,IG4,66.6,0.000105551,0.002088795,0.006160483,0.015462846,0.525,112.433,IG4,66.6,0.000105551,0.002088795,0.006160483,0.015462846,2.001,102.203,IG4,66.6,0.000105551,0.002088795,0.006160483,0.015462846,2.977,107.804,IG4,66.6,0.000105551,0.002088795,0.006160483,0.015462846,3.077,113.689,IG4,66.6,0.000105551,0.002088795,0.006160483,0.015462846
7/23/2019,,,IG4,66.3,0.000101732,0.002046777,0.006069731,0.0152959,0.202,116.564,IG4,66.3,0.000101732,0.002046777,0.006069731,0.0152959,0.5,112.661,IG4,66.3,0.000101732,0.002046777,0.006069731,0.0152959,1.975,102.429,IG4,66.3,0.000101732,0.002046777,0.006069731,0.0152959,2.981,107.765,IG4,66.3,0.000101732,0.002046777,0.006069731,0.0152959,3.092,113.547,IG4,66.3,0.000101732,0.002046777,0.006069731,0.0152959
7/24/2019,,,IG4,66.2,0.000099689,0.002024404,0.006021745,0.015208856,0.151,116.933,IG4,66.2,0.000099689,0.002024404,0.006021745,0.015208856,0.432,113.274,IG4,66.2,0.000099689,0.002024404,0.006021745,0.015208856,1.941,102.741,IG4,66.2,0.000099689,0.002024404,0.006021745,0.015208856,2.917,108.276,IG4,66.2,0.000099689,0.002024404,0.006021745,0.015208856,3.057,113.855,IG4,66.2,0.000099689,0.002024404,0.006021745,0.015208856
7/25/2019,,,IG4,66.5,0.000104307,0.00203793,0.005996708,0.015077042,0.104,117.248,IG4,66.5,0.000104307,0.00203793,0.005996708,0.015077042,0.388,113.661,IG4,66.5,0.000104307,0.00203793,0.005996708,0.015077042,1.927,102.86,IG4,66.5,0.000104307,0.00203793,0.005996708,0.015077042,2.92,108.247,IG4,66.5,0.000104307,0.00203793,0.005996708,0.015077042,3.055,113.865,IG4,66.5,0.000104307,0.00203793,0.005996708,0.015077042
7/26/2019,,,IG4,66.4,0.000102955,0.002022882,0.005963747,0.015014775,0.069,117.503,IG4,66.4,0.000102955,0.002022882,0.005963747,0.015014775,0.347,114.028,IG4,66.4,0.000102955,0.002022882,0.005963747,0.015014775,1.901,103.093,IG4,66.4,0.000102955,0.002022882,0.005963747,0.015014775,2.922,108.229,IG4,66.4,0.000102955,0.002022882,0.005963747,0.015014775,3.075,113.684,IG4,66.4,0.000102955,0.002022882,0.005963747,0.015014775
7/29/2019,,,IG4,64.1,0.000099443,0.001984674,0.005881452,0.014863581,0.057,117.585,IG4,64.1,0.000099443,0.001984674,0.005881452,0.014863581,0.328,114.204,IG4,64.1,0.000099443,0.001984674,0.005881452,0.014863581,1.867,103.407,IG4,64.1,0.000099443,0.001984674,0.005881452,0.014863581,2.917,108.267,IG4,64.1,0.000099443,0.001984674,0.005881452,0.014863581,3.052,113.882,IG4,64.1,0.000099443,0.001984674,0.005881452,0.014863581
7/30/2019,,,IG4,64.1,0.000099734,0.001987651,0.005887604,0.014874123,0.079,117.413,IG4,64.1,0.000099734,0.001987651,0.005887604,0.014874123,0.347,114.024,IG4,64.1,0.000099734,0.001987651,0.005887604,0.014874123,1.858,103.481,IG4,64.1,0.000099734,0.001987651,0.005887604,0.014874123,2.936,108.112,IG4,64.1,0.000099734,0.001987651,0.005887604,0.014874123,3.062,113.796,IG4,64.1,0.000099734,0.001987651,0.005887604,0.014874123
7/31/2019,,,IG4,64.1,0.000099796,0.001989756,0.005894033,0.014891338,0.073,117.447,IG4,64.1,0.000099796,0.001989756,0.005894033,0.014891338,0.33,114.178,IG4,64.1,0.000099796,0.001989756,0.005894033,0.014891338,1.833,103.714,IG4,64.1,0.000099796,0.001989756,0.005894033,0.014891338,2.876,108.587,IG4,64.1,0.000099796,0.001989756,0.005894033,0.014891338,3.041,113.98,IG4,64.1,0.000099796,0.001989756,0.005894033,0.014891338
8/1/2019,,,IG4,63.9,0.000096489,0.001953518,0.005816016,0.014748597,0.1,117.228,IG4,63.9,0.000096489,0.001953518,0.005816016,0.014748597,0.348,113.998,IG4,63.9,0.000096489,0.001953518,0.005816016,0.014748597,1.813,103.885,IG4,63.9,0.000096489,0.001953518,0.005816016,0.014748597,2.778,109.374,IG4,63.9,0.000096489,0.001953518,0.005816016,0.014748597,2.935,114.908,IG4,63.9,0.000096489,0.001953518,0.005816016,0.014748597
8/2/2019,,,IG4,64.8,0.000109248,0.002094049,0.006121444,0.015318364,0.133,116.986,IG4,64.8,0.000109248,0.002094049,0.006121444,0.015318364,0.376,113.733,IG4,64.8,0.000109248,0.002094049,0.006121444,0.015318364,1.79,104.101,IG4,64.8,0.000109248,0.002094049,0.006121444,0.015318364,2.766,109.466,IG4,64.8,0.000109248,0.002094049,0.006121444,0.015318364,2.939,114.867,IG4,64.8,0.000109248,0.002094049,0.006121444,0.015318364
8/5/2019,,,IG4,63.1,0.000118081,0.002187089,0.006320942,0.015686724,0.206,116.449,IG4,63.1,0.000118081,0.002187089,0.006320942,0.015686724,0.474,112.845,IG4,63.1,0.000118081,0.002187089,0.006320942,0.015686724,1.775,104.231,IG4,63.1,0.000118081,0.002187089,0.006320942,0.015686724,2.704,109.969,IG4,63.1,0.000118081,0.002187089,0.006320942,0.015686724,2.87,115.482,IG4,63.1,0.000118081,0.002187089,0.006320942,0.015686724
8/6/2019,,,IG4,63.3,0.000121949,0.002226949,0.006405902,0.015843037,0.207,116.434,IG4,63.3,0.000121949,0.002226949,0.006405902,0.015843037,0.452,113.036,IG4,63.3,0.000121949,0.002226949,0.006405902,0.015843037,1.796,104.044,IG4,63.3,0.000121949,0.002226949,0.006405902,0.015843037,2.711,109.907,IG4,63.3,0.000121949,0.002226949,0.006405902,0.015843037,2.844,115.706,IG4,63.3,0.000121949,0.002226949,0.006405902,0.015843037
8/7/2019,,,IG4,63.2,0.000120713,0.002216316,0.006385844,0.015813297,0.163,116.743,IG4,63.2,0.000120713,0.002216316,0.006385844,0.015813297,0.396,113.539,IG4,63.2,0.000120713,0.002216316,0.006385844,0.015813297,1.776,104.221,IG4,63.2,0.000120713,0.002216316,0.006385844,0.015813297,2.751,109.578,IG4,63.2,0.000120713,0.002216316,0.006385844,0.015813297,2.903,115.174,IG4,63.2,0.000120713,0.002216316,0.006385844,0.015813297
8/8/2019,,,IG4,63,0.000117438,0.002182112,0.006312462,0.015677071,0.136,116.918,IG4,63,0.000117438,0.002182112,0.006312462,0.015677071,0.364,113.818,IG4,63,0.000117438,0.002182112,0.006312462,0.015677071,1.815,103.864,IG4,63,0.000117438,0.002182112,0.006312462,0.015677071,2.752,109.568,IG4,63,0.000117438,0.002182112,0.006312462,0.015677071,2.903,115.167,IG4,63,0.000117438,0.002182112,0.006312462,0.015677071
8/9/2019,,,IG4,63.1,0.000118832,0.002197248,0.006345626,0.015740495,0.125,116.997,IG4,63.1,0.000118832,0.002197248,0.006345626,0.015740495,0.346,113.981,IG4,63.1,0.000118832,0.002197248,0.006345626,0.015740495,1.769,104.284,IG4,63.1,0.000118832,0.002197248,0.006345626,0.015740495,2.766,109.449,IG4,63.1,0.000118832,0.002197248,0.006345626,0.015740495,2.915,115.049,IG4,63.1,0.000118832,0.002197248,0.006345626,0.015740495
8/12/2019,,,IG4,61.7,0.000119544,0.00220417,0.006359842,0.015765143,0.113,117.076,IG4,61.7,0.000119544,0.00220417,0.006359842,0.015765143,0.326,114.158,IG4,61.7,0.000119544,0.00220417,0.006359842,0.015765143,1.768,104.291,IG4,61.7,0.000119544,0.00220417,0.006359842,0.015765143,2.681,110.132,IG4,61.7,0.000119544,0.00220417,0.006359842,0.015765143,2.841,115.707,IG4,61.7,0.000119544,0.00220417,0.006359842,0.015765143
8/13/2019,,,IG4,61.8,0.000121997,0.002229304,0.006413254,0.015863023,0.109,117.099,IG4,61.8,0.000121997,0.002229304,0.006413254,0.015863023,0.314,114.259,IG4,61.8,0.000121997,0.002229304,0.006413254,0.015863023,1.785,104.131,IG4,61.8,0.000121997,0.002229304,0.006413254,0.015863023,2.756,109.522,IG4,61.8,0.000121997,0.002229304,0.006413254,0.015863023,2.903,115.152,IG4,61.8,0.000121997,0.002229304,0.006413254,0.015863023
8/14/2019,,,IG4,62.5,0.000133372,0.002344017,0.006656495,0.016309744,0.108,117.099,IG4,62.5,0.000133372,0.002344017,0.006656495,0.016309744,0.301,114.376,IG4,62.5,0.000133372,0.002344017,0.006656495,0.016309744,1.748,104.471,IG4,62.5,0.000133372,0.002344017,0.006656495,0.016309744,2.66,110.301,IG4,62.5,0.000133372,0.002344017,0.006656495,0.016309744,2.808,115.995,IG4,62.5,0.000133372,0.002344017,0.006656495,0.016309744
8/15/2019,,,IG4,62.5,0.000133589,0.002350601,0.006675835,0.016360041,0.075,117.315,IG4,62.5,0.000133589,0.002350601,0.006675835,0.016360041,0.265,114.688,IG4,62.5,0.000133589,0.002350601,0.006675835,0.016360041,1.729,104.636,IG4,62.5,0.000133589,0.002350601,0.006675835,0.016360041,2.65,110.373,IG4,62.5,0.000133589,0.002350601,0.006675835,0.016360041,2.754,116.475,IG4,62.5,0.000133589,0.002350601,0.006675835,0.016360041
8/16/2019,,,IG4,62.2,0.000128687,0.002302274,0.006574466,0.016176436,0.08,117.271,IG4,62.2,0.000128687,0.002302274,0.006574466,0.016176436,0.274,114.605,IG4,62.2,0.000128687,0.002302274,0.006574466,0.016176436,1.786,104.119,IG4,62.2,0.000128687,0.002302274,0.006574466,0.016176436,2.65,110.373,IG4,62.2,0.000128687,0.002302274,0.006574466,0.016176436,2.789,116.155,IG4,62.2,0.000128687,0.002302274,0.006574466,0.016176436
8/19/2019,,,IG4,60.5,0.000125631,0.002269756,0.006503481,0.016040546,0.075,117.302,IG4,60.5,0.000125631,0.002269756,0.006503481,0.016040546,0.276,114.587,IG4,60.5,0.000125631,0.002269756,0.006503481,0.016040546,1.786,104.114,IG4,60.5,0.000125631,0.002269756,0.006503481,0.016040546,2.652,110.353,IG4,60.5,0.000125631,0.002269756,0.006503481,0.016040546,2.794,116.101,IG4,60.5,0.000125631,0.002269756,0.006503481,0.016040546
8/20/2019,,,IG4,60.7,0.000129089,0.002304953,0.006578445,0.016179082,0.045,117.51,IG4,60.7,0.000129089,0.002304953,0.006578445,0.016179082,0.242,114.894,IG4,60.7,0.000129089,0.002304953,0.006578445,0.016179082,1.763,104.328,IG4,60.7,0.000129089,0.002304953,0.006578445,0.016179082,2.622,110.595,IG4,60.7,0.000129089,0.002304953,0.006578445,0.016179082,2.757,116.433,IG4,60.7,0.000129089,0.002304953,0.006578445,0.016179082
8/21/2019,,,IG4,60.4,0.000124187,0.002253953,0.006468525,0.015972489,0.041,117.532,IG4,60.4,0.000124187,0.002253953,0.006468525,0.015972489,0.237,114.932,IG4,60.4,0.000124187,0.002253953,0.006468525,0.015972489,1.777,104.197,IG4,60.4,0.000124187,0.002253953,0.006468525,0.015972489,2.585,110.892,IG4,60.4,0.000124187,0.002253953,0.006468525,0.015972489,2.725,116.712,IG4,60.4,0.000124187,0.002253953,0.006468525,0.015972489
8/22/2019,,,IG4,60.4,0.000125213,0.002262296,0.006483636,0.015993051,0.043,117.493,IG4,60.4,0.000125213,0.002262296,0.006483636,0.015993051,0.233,114.951,IG4,60.4,0.000125213,0.002262296,0.006483636,0.015993051,1.82,103.804,IG4,60.4,0.000125213,0.002262296,0.006483636,0.015993051,2.617,110.619,IG4,60.4,0.000125213,0.002262296,0.006483636,0.015993051,2.75,116.477,IG4,60.4,0.000125213,0.002262296,0.006483636,0.015993051
8/23/2019,,,IG4,60.5,0.000125909,0.002270704,0.00650316,0.016033528,0.005,117.763,IG4,60.5,0.000125909,0.002270704,0.00650316,0.016033528,0.192,115.325,IG4,60.5,0.000125909,0.002270704,0.00650316,0.016033528,1.772,104.238,IG4,60.5,0.000125909,0.002270704,0.00650316,0.016033528,2.547,111.192,IG4,60.5,0.000125909,0.002270704,0.00650316,0.016033528,2.668,117.217,IG4,60.5,0.000125909,0.002270704,0.00650316,0.016033528
8/26/2019,,,IG4,58.7,0.000131164,0.002322797,0.006612586,0.016231785,0.011,117.714,IG4,58.7,0.000131164,0.002322797,0.006612586,0.016231785,0.199,115.254,IG4,58.7,0.000131164,0.002322797,0.006612586,0.016231785,1.772,104.238,IG4,58.7,0.000131164,0.002322797,0.006612586,0.016231785,2.555,111.121,IG4,58.7,0.000131164,0.002322797,0.006612586,0.016231785,2.682,117.082,IG4,58.7,0.000131164,0.002322797,0.006612586,0.016231785
8/27/2019,,,IG4,58.6,0.00012983,0.002311346,0.0065907,0.016198053,0.022,117.627,IG4,58.6,0.00012983,0.002311346,0.0065907,0.016198053,0.193,115.311,IG4,58.6,0.00012983,0.002311346,0.0065907,0.016198053,1.723,104.687,IG4,58.6,0.00012983,0.002311346,0.0065907,0.016198053,2.499,111.575,IG4,58.6,0.00012983,0.002311346,0.0065907,0.016198053,2.618,117.661,IG4,58.6,0.00012983,0.002311346,0.0065907,0.016198053
8/28/2019,,,IG4,58.9,0.000136015,0.002372283,0.006718745,0.01643093,0.031,117.554,IG4,58.9,0.000136015,0.002372283,0.006718745,0.01643093,0.193,115.298,IG4,58.9,0.000136015,0.002372283,0.006718745,0.01643093,1.669,105.173,IG4,58.9,0.000136015,0.002372283,0.006718745,0.01643093,2.519,111.404,IG4,58.9,0.000136015,0.002372283,0.006718745,0.01643093,2.655,117.32,IG4,58.9,0.000136015,0.002372283,0.006718745,0.01643093
8/29/2019,,,IG4,58.6,0.000130179,0.002315879,0.006601568,0.016221485,0.025,117.576,IG4,58.6,0.000130179,0.002315879,0.006601568,0.016221485,0.207,115.161,IG4,58.6,0.000130179,0.002315879,0.006601568,0.016221485,1.665,105.207,IG4,58.6,0.000130179,0.002315879,0.006601568,0.016221485,2.54,111.224,IG4,58.6,0.000130179,0.002315879,0.006601568,0.016221485,2.674,117.136,IG4,58.6,0.000130179,0.002315879,0.006601568,0.016221485
8/30/2019,,,IG4,58.5,0.000128357,0.00229769,0.006563189,0.016151436,0.024,117.577,IG4,58.5,0.000128357,0.00229769,0.006563189,0.016151436,0.206,115.163,IG4,58.5,0.000128357,0.00229769,0.006563189,0.016151436,1.707,104.824,IG4,58.5,0.000128357,0.00229769,0.006563189,0.016151436,2.553,111.119,IG4,58.5,0.000128357,0.00229769,0.006563189,0.016151436,2.678,117.097,IG4,58.5,0.000128357,0.00229769,0.006563189,0.016151436
9/2/2019,,,IG4,56.3,0.000126053,0.002274948,0.006515638,0.016065998,0.028,117.54,IG4,56.3,0.000126053,0.002274948,0.006515638,0.016065998,0.211,115.115,IG4,56.3,0.000126053,0.002274948,0.006515638,0.016065998,1.652,105.322,IG4,56.3,0.000126053,0.002274948,0.006515638,0.016065998,2.553,111.119,IG4,56.3,0.000126053,0.002274948,0.006515638,0.016065998,2.678,117.097,IG4,56.3,0.000126053,0.002274948,0.006515638,0.016065998
9/3/2019,,,IG4,56.3,0.00012611,0.002275114,0.006515483,0.016064314,0.067,117.249,IG4,56.3,0.00012611,0.002275114,0.006515483,0.016064314,0.244,114.803,IG4,56.3,0.00012611,0.002275114,0.006515483,0.016064314,1.672,105.141,IG4,56.3,0.00012611,0.002275114,0.006515483,0.016064314,2.524,111.355,IG4,56.3,0.00012611,0.002275114,0.006515483,0.016064314,2.65,117.34,IG4,56.3,0.00012611,0.002275114,0.006515483,0.016064314
9/4/2019,,,IG4,56.2,0.000124908,0.002262009,0.006486528,0.016008012,0.095,117.042,IG4,56.2,0.000124908,0.002262009,0.006486528,0.016008012,0.279,114.478,IG4,56.2,0.000124908,0.002262009,0.006486528,0.016008012,1.755,104.377,IG4,56.2,0.000124908,0.002262009,0.006486528,0.016008012,2.535,111.26,IG4,56.2,0.000124908,0.002262009,0.006486528,0.016008012,2.686,117.014,IG4,56.2,0.000124908,0.002262009,0.006486528,0.016008012
9/5/2019,,,IG4,56.3,0.000126294,0.002273499,0.006507715,0.0160381,0.13,116.77,IG4,56.3,0.000126294,0.002273499,0.006507715,0.0160381,0.334,113.968,IG4,56.3,0.000126294,0.002273499,0.006507715,0.0160381,1.854,103.484,IG4,56.3,0.000126294,0.002273499,0.006507715,0.0160381,2.626,110.504,IG4,56.3,0.000126294,0.002273499,0.006507715,0.0160381,2.75,116.42,IG4,56.3,0.000126294,0.002273499,0.006507715,0.0160381
9/6/2019,,,IG4,56.4,0.000128617,0.002297703,0.006559992,0.016136719,0.115,116.867,IG4,56.4,0.000128617,0.002297703,0.006559992,0.016136719,0.31,114.184,IG4,56.4,0.000128617,0.002297703,0.006559992,0.016136719,1.761,104.323,IG4,56.4,0.000128617,0.002297703,0.006559992,0.016136719,2.631,110.462,IG4,56.4,0.000128617,0.002297703,0.006559992,0.016136719,2.75,116.415,IG4,56.4,0.000128617,0.002297703,0.006559992,0.016136719
9/9/2019,,,IG4,55.1,0.000124097,0.002251741,0.006462201,0.015956392,0.161,116.537,IG4,55.1,0.000124097,0.002251741,0.006462201,0.015956392,0.354,113.783,IG4,55.1,0.000124097,0.002251741,0.006462201,0.015956392,1.837,103.637,IG4,55.1,0.000124097,0.002251741,0.006462201,0.015956392,2.677,110.089,IG4,55.1,0.000124097,0.002251741,0.006462201,0.015956392,2.813,115.85,IG4,55.1,0.000124097,0.002251741,0.006462201,0.015956392
9/10/2019,,,IG4,55.3,0.000128867,0.002298142,0.006558353,0.016126662,0.219,116.114,IG4,55.3,0.000128867,0.002298142,0.006558353,0.016126662,0.419,113.194,IG4,55.3,0.000128867,0.002298142,0.006558353,0.016126662,1.89,103.154,IG4,55.3,0.000128867,0.002298142,0.006558353,0.016126662,2.762,109.4,IG4,55.3,0.000128867,0.002298142,0.006558353,0.016126662,2.909,114.996,IG4,55.3,0.000128867,0.002298142,0.006558353,0.016126662
9/11/2019,,,IG4,55.2,0.000127094,0.002280244,0.006520358,0.016056742,0.251,115.878,IG4,55.2,0.000127094,0.002280244,0.006520358,0.016056742,0.445,112.956,IG4,55.2,0.000127094,0.002280244,0.006520358,0.016056742,1.898,103.082,IG4,55.2,0.000127094,0.002280244,0.006520358,0.016056742,2.766,109.373,IG4,55.2,0.000127094,0.002280244,0.006520358,0.016056742,2.892,115.14,IG4,55.2,0.000127094,0.002280244,0.006520358,0.016056742
9/12/2019,,,IG4,54.9,0.000120243,0.002208211,0.006364466,0.01576259,0.28,115.657,IG4,54.9,0.000120243,0.002208211,0.006364466,0.01576259,0.446,112.929,IG4,54.9,0.000120243,0.002208211,0.006364466,0.01576259,1.9,103.066,IG4,54.9,0.000120243,0.002208211,0.006364466,0.01576259,2.732,109.636,IG4,54.9,0.000120243,0.002208211,0.006364466,0.01576259,2.856,115.447,IG4,54.9,0.000120243,0.002208211,0.006364466,0.01576259
9/13/2019,,,IG4,55,0.000122676,0.002230668,0.006409161,0.015836176,0.263,115.773,IG4,55,0.000122676,0.002230668,0.006409161,0.015836176,0.447,112.921,IG4,55,0.000122676,0.002230668,0.006409161,0.015836176,1.983,102.33,IG4,55,0.000122676,0.002230668,0.006409161,0.015836176,2.825,108.892,IG4,55,0.000122676,0.002230668,0.006409161,0.015836176,2.98,114.346,IG4,55,0.000122676,0.002230668,0.006409161,0.015836176
9/16/2019,,,IG4,54.3,0.000128468,0.002289653,0.006534828,0.016068282,0.227,116.019,IG4,54.3,0.000128468,0.002289653,0.006534828,0.016068282,0.409,113.255,IG4,54.3,0.000128468,0.002289653,0.006534828,0.016068282,1.901,103.059,IG4,54.3,0.000128468,0.002289653,0.006534828,0.016068282,2.787,109.188,IG4,54.3,0.000128468,0.002289653,0.006534828,0.016068282,2.941,114.688,IG4,54.3,0.000128468,0.002289653,0.006534828,0.016068282
9/17/2019,,,IG4,54,0.000122983,0.002235314,0.006420936,0.015863048,0.266,115.737,IG4,54,0.000122983,0.002235314,0.006420936,0.015863048,0.432,113.042,IG4,54,0.000122983,0.002235314,0.006420936,0.015863048,1.912,102.955,IG4,54,0.000122983,0.002235314,0.006420936,0.015863048,2.795,109.125,IG4,54,0.000122983,0.002235314,0.006420936,0.015863048,2.903,115.015,IG4,54,0.000122983,0.002235314,0.006420936,0.015863048
